id,cluster_id,suggested_filename,suggested_domain,title,content,generation_method,gap_count,representative_queries,status,reviewed_by,reviewed_at,rejection_reason,ingested_at,ingested_sop_path,created_at,updated_at
1,803,runbook-node-1.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,2,"[""node query 0"",""node query 1"",""node query 2""]",approved,mpatel,2026-06-22 08:26:33,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
2,310,runbook-memory-2.md,memory,Auto-draft: remediating memory incidents,"# Memory remediation

## Symptoms
- elevated memory signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,26,"[""memory query 0"",""memory query 1""]",ingested,mpatel,2026-05-30 17:31:45,,2026-06-11 19:27:11,sops/memory/runbook-memory-2.md,2026-05-24 12:00:00,2026-06-23 12:00:00
3,301,runbook-security-3.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,15,"[""security query 0""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
4,418,runbook-storage-4.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,15,"[""storage query 0"",""storage query 1"",""storage query 2"",""storage query 3""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
5,290,runbook-security-5.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,25,"[""security query 0""]",ingested,,2026-06-18 17:00:04,,2026-06-02 10:28:08,sops/security/runbook-security-5.md,2026-05-24 12:00:00,2026-06-23 12:00:00
6,274,runbook-cpu-6.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,27,"[""cpu query 0"",""cpu query 1""]",approved,rsingh,2026-05-26 01:22:55,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
7,260,runbook-storage-7.md,storage,Auto-draft: remediating storage incidents,"# Storage remediation

## Symptoms
- elevated storage signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,25,"[""storage query 0"",""storage query 1"",""storage query 2"",""storage query 3""]",ingested,,2026-05-27 19:17:33,,2026-05-29 09:52:13,sops/storage/runbook-storage-7.md,2026-05-24 12:00:00,2026-06-23 12:00:00
8,611,runbook-security-8.md,security,Auto-draft: remediating security incidents,"# Security remediation

## Symptoms
- elevated security signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,19,"[""security query 0"",""security query 1"",""security query 2""]",ingested,,2026-06-02 03:18:28,,2026-06-10 08:54:43,sops/security/runbook-security-8.md,2026-05-24 12:00:00,2026-06-23 12:00:00
9,776,runbook-node-9.md,node,Auto-draft: remediating node incidents,"# Node remediation

## Symptoms
- elevated node signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,24,"[""node query 0""]",draft,mpatel,,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
10,956,runbook-cpu-10.md,cpu,Auto-draft: remediating cpu incidents,"# Cpu remediation

## Symptoms
- elevated cpu signals

## Steps
1. Inspect pod
2. Apply fix
3. Verify",auto,23,"[""cpu query 0"",""cpu query 1"",""cpu query 2"",""cpu query 3""]",approved,rsingh,2026-06-02 21:44:03,,,,2026-05-24 12:00:00,2026-06-23 12:00:00
