id,knowledge_type,title,content,source,confidence,applicable_environments,tags,metadata,created_at,updated_at
1,incident_pattern,Network incident pattern #1,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.9285,"[""dr"",""prod""]","[""network"",""sre"",""scaling""]","{""domain"":""network"",""verified"":true}",2026-06-20 02:01:05,2026-06-23 12:00:00
2,best_practice,Availability best practice #2,"When availability pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.736,"[""dr"",""staging""]","[""availability"",""prod"",""leak""]","{""domain"":""availability"",""verified"":true}",2026-05-06 10:28:38,2026-06-23 12:00:00
3,root_cause,Storage root cause #3,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.7316,"[""staging""]","[""leak"",""k8s"",""storage""]","{""domain"":""storage"",""verified"":false}",2026-03-27 23:27:21,2026-06-23 12:00:00
4,root_cause,Network root cause #4,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.8583,"[""prod"",""staging""]","[""k8s"",""leak"",""prod""]","{""domain"":""network"",""verified"":true}",2026-04-09 22:09:11,2026-06-23 12:00:00
5,remediation,Network remediation #5,"When network pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",expert_feedback,0.6416,"[""dr""]","[""k8s"",""prod"",""network""]","{""domain"":""network"",""verified"":true}",2026-05-23 20:05:45,2026-06-23 12:00:00
6,remediation,Node remediation #6,"When node pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",sop,0.6867,"[""staging"",""prod""]","[""scaling"",""prod"",""sre""]","{""domain"":""node"",""verified"":true}",2026-06-12 00:26:06,2026-06-23 12:00:00
7,best_practice,Memory best practice #7,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.8089,"[""prod"",""dr""]","[""sre"",""prod"",""memory""]","{""domain"":""memory"",""verified"":true}",2026-06-16 03:48:45,2026-06-23 12:00:00
8,incident_pattern,Storage incident pattern #8,"When storage pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.967,"[""dr"",""staging"",""prod""]","[""leak"",""prod"",""k8s""]","{""domain"":""storage"",""verified"":true}",2026-03-27 17:29:51,2026-06-23 12:00:00
9,root_cause,Memory root cause #9,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",auto_mined,0.9493,"[""prod"",""dr""]","[""memory"",""scaling"",""leak""]","{""domain"":""memory"",""verified"":true}",2026-03-30 06:14:27,2026-06-23 12:00:00
10,best_practice,Memory best practice #10,"When memory pressure rises on a pod, the typical root cause is undersized limits or a leak; remediate by right-sizing requests/limits, adding a PDB, and tuning probes.",postmortem,0.6427,"[""prod"",""staging""]","[""k8s"",""scaling"",""sre""]","{""domain"":""memory"",""verified"":true}",2026-04-02 13:47:20,2026-06-23 12:00:00
