id,sop_id,sop_name,sop_path,section_title,query_text,similarity_score,source,cluster_name,namespace,pod_name,action_taken,was_useful,matched_at
1,6,Availability Runbook 06: CFS throttling tuning,sops/availability/runbook-06.md,Symptoms,checkout-web high latency,0.8576,alert,prod-usw2-eks,checkout,checkout-web-2e5d994-d724e,restart_pod,true,2026-06-19 23:06:08
2,40,Memory Runbook 40: Cert rotation,sops/memory/runbook-40.md,Diagnosis,orders-api high latency,0.7331,prediction,prod-usw2-eks,orders,orders-api-402bb51-ad48f,none,false,2026-06-04 03:14:58
3,5,Node Runbook 05: Connection pool sizing,sops/node/runbook-05.md,Diagnosis,session-store CrashLoopBackOff,0.6715,chat,prod-usw2-eks,identity,session-store-28ebc77-cf7c8,increase_limit,true,2026-06-19 16:32:24
4,22,Security Runbook 22: Cert rotation,sops/security/runbook-22.md,Prevention,cart-svc throttled,0.7119,chat,prod-usw2-eks,checkout,cart-svc-0a94879-c1bba,scale_up,true,2026-06-11 23:45:53
5,12,Node Runbook 12: CrashLoopBackOff triage,sops/node/runbook-12.md,Prevention,checkout-web OOMKilled,0.6459,chat,dr-use1-eks,checkout,checkout-web-4263246-52f3a,restart_pod,true,2026-06-18 18:41:31
6,13,Security Runbook 13: CFS throttling tuning,sops/security/runbook-13.md,Symptoms,orders-worker throttled,0.6048,auto,prod-usw2-eks,orders,orders-worker-0696c96-a62c8,restart_pod,true,2026-06-22 21:01:21
7,24,Node Runbook 24: Cert rotation,sops/node/runbook-24.md,Remediation,payments-api CrashLoopBackOff,0.6333,alert,prod-usw2-eks,payments,payments-api-1e23165-1e35b,increase_limit,true,2026-06-04 10:17:05
8,19,Memory Runbook 19: CoreDNS restart,sops/memory/runbook-19.md,Symptoms,auth-gateway CrashLoopBackOff,0.8075,auto,prod-use2-eks,identity,auth-gateway-bf1d422-2018d,restart_pod,true,2026-06-01 12:37:12
9,35,Memory Runbook 35: OOMKilled remediation,sops/memory/runbook-35.md,Remediation,auth-gateway CrashLoopBackOff,0.8088,chat,prod-use2-eks,identity,auth-gateway-7b28269-a7447,none,true,2026-06-22 01:28:09
10,1,Node Runbook 01: DiskPressure eviction recovery,sops/node/runbook-01.md,Prevention,metrics-server high latency,0.8849,prediction,prod-usw2-eks,kube-system,metrics-server-6162d13-d4a14,restart_pod,false,2026-05-26 05:49:21
11,6,Availability Runbook 06: CFS throttling tuning,sops/availability/runbook-06.md,Symptoms,payments-api throttled,0.6887,prediction,prod-use2-eks,payments,payments-api-c9c2b74-00142,scale_up,false,2026-06-12 07:49:15
12,15,Node Runbook 15: Connection pool sizing,sops/node/runbook-15.md,Diagnosis,search-api CrashLoopBackOff,0.8148,auto,prod-usw2-eks,search,search-api-db28570-d359e,increase_limit,true,2026-05-29 08:27:51
13,33,Availability Runbook 33: Connection pool sizing,sops/availability/runbook-33.md,Symptoms,checkout-web OOMKilled,0.7329,auto,dr-use1-eks,checkout,checkout-web-4263246-52f3a,scale_up,false,2026-05-30 13:11:20
14,13,Security Runbook 13: CFS throttling tuning,sops/security/runbook-13.md,Symptoms,auth-gateway high latency,0.6927,alert,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,scale_up,true,2026-05-25 16:45:00
15,21,Memory Runbook 21: PDB & graceful shutdown,sops/memory/runbook-21.md,Prevention,search-api throttled,0.6003,auto,prod-usw2-eks,search,search-api-a47d446-4ffe2,none,true,2026-06-21 03:18:29
16,11,Availability Runbook 11: CoreDNS restart,sops/availability/runbook-11.md,Remediation,checkout-web OOMKilled,0.6108,auto,prod-use2-eks,checkout,checkout-web-c2eb578-2d181,increase_limit,true,2026-06-04 06:30:30
17,17,Network Runbook 17: Cert rotation,sops/network/runbook-17.md,Diagnosis,auth-gateway throttled,0.9229,chat,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,scale_up,true,2026-06-11 19:49:23
18,28,Storage Runbook 28: Connection pool sizing,sops/storage/runbook-28.md,Remediation,payments-api throttled,0.6833,alert,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,restart_pod,true,2026-06-08 12:15:54
19,26,Memory Runbook 26: Node drain & cordon,sops/memory/runbook-26.md,Diagnosis,auth-gateway high latency,0.6499,chat,prod-usw2-eks,identity,auth-gateway-d4d3364-aac01,restart_pod,false,2026-05-29 10:54:11
20,4,Network Runbook 04: Cert rotation,sops/network/runbook-04.md,Diagnosis,orders-api OOMKilled,0.9059,alert,dr-use1-eks,orders,orders-api-8330e48-f22f4,none,true,2026-06-17 18:23:37
21,35,Memory Runbook 35: OOMKilled remediation,sops/memory/runbook-35.md,Prevention,image-resizer CrashLoopBackOff,0.7054,alert,prod-use2-eks,platform,image-resizer-7bb3c89-50e74,increase_limit,false,2026-06-16 06:25:47
22,32,Storage Runbook 32: CFS throttling tuning,sops/storage/runbook-32.md,Prevention,orders-api high latency,0.7197,alert,prod-usw2-eks,orders,orders-api-402bb51-ad48f,scale_up,true,2026-05-24 13:04:09
23,14,Availability Runbook 14: PDB & graceful shutdown,sops/availability/runbook-14.md,Diagnosis,checkout-web throttled,0.6714,chat,prod-use2-eks,checkout,checkout-web-0101b48-2b2af,none,true,2026-06-19 06:30:49
24,7,Storage Runbook 07: PDB & graceful shutdown,sops/storage/runbook-07.md,Prevention,orders-api CrashLoopBackOff,0.6433,alert,prod-use2-eks,orders,orders-api-e9b4a39-c3784,none,true,2026-05-25 15:04:37
25,30,Security Runbook 30: OOMKilled remediation,sops/security/runbook-30.md,Remediation,auth-gateway OOMKilled,0.7008,alert,staging-use2-eks,identity,auth-gateway-41b4f33-14ef9,scale_up,false,2026-06-22 18:24:29
26,2,Storage Runbook 02: OOMKilled remediation,sops/storage/runbook-02.md,Remediation,recommendation CrashLoopBackOff,0.675,alert,prod-use2-eks,search,recommendation-e5d5555-c6e9b,scale_up,true,2026-06-04 02:40:21
27,34,Node Runbook 34: Connection pool sizing,sops/node/runbook-34.md,Prevention,cart-svc OOMKilled,0.7431,alert,dr-use1-eks,checkout,cart-svc-da3cf51-00806,increase_limit,false,2026-06-19 18:30:37
28,19,Memory Runbook 19: CoreDNS restart,sops/memory/runbook-19.md,Remediation,orders-worker high latency,0.6825,prediction,prod-usw2-eks,orders,orders-worker-0696c96-a62c8,restart_pod,true,2026-06-12 09:02:29
29,35,Memory Runbook 35: OOMKilled remediation,sops/memory/runbook-35.md,Diagnosis,checkout-web high latency,0.6553,prediction,prod-use2-eks,checkout,checkout-web-47df111-4e24c,restart_pod,true,2026-06-20 13:42:49
30,24,Node Runbook 24: Cert rotation,sops/node/runbook-24.md,Diagnosis,metrics-server CrashLoopBackOff,0.9225,auto,prod-usw2-eks,kube-system,metrics-server-6162d13-d4a14,increase_limit,false,2026-06-06 10:38:08
31,39,Availability Runbook 39: Cert rotation,sops/availability/runbook-39.md,Prevention,cart-svc OOMKilled,0.6268,auto,prod-usw2-eks,checkout,cart-svc-0a94879-c1bba,scale_up,true,2026-06-14 18:05:58
32,14,Availability Runbook 14: PDB & graceful shutdown,sops/availability/runbook-14.md,Symptoms,config-svc high latency,0.6058,chat,prod-usw2-eks,platform,config-svc-370d832-a686a,restart_pod,true,2026-06-08 17:52:45
33,18,Memory Runbook 18: Connection pool sizing,sops/memory/runbook-18.md,Remediation,ledger-svc throttled,0.859,chat,dr-use1-eks,ledger,ledger-svc-e00a046-6e2d6,none,true,2026-06-06 07:45:41
34,18,Memory Runbook 18: Connection pool sizing,sops/memory/runbook-18.md,Remediation,image-resizer OOMKilled,0.9416,alert,prod-use2-eks,platform,image-resizer-7bb3c89-50e74,none,true,2026-05-26 14:09:05
35,14,Availability Runbook 14: PDB & graceful shutdown,sops/availability/runbook-14.md,Symptoms,cart-svc CrashLoopBackOff,0.9162,chat,dr-use1-eks,checkout,cart-svc-da3cf51-00806,restart_pod,true,2026-06-18 12:35:01
36,17,Network Runbook 17: Cert rotation,sops/network/runbook-17.md,Symptoms,payments-api high latency,0.8279,prediction,prod-usw2-eks,payments,payments-api-1e23165-1e35b,increase_limit,true,2026-05-26 20:14:54
37,32,Storage Runbook 32: CFS throttling tuning,sops/storage/runbook-32.md,Prevention,notifications throttled,0.6114,chat,prod-use2-eks,notifications,notifications-1938743-28dca,none,true,2026-06-19 02:22:16
38,20,Availability Runbook 20: CoreDNS restart,sops/availability/runbook-20.md,Remediation,config-svc throttled,0.8494,auto,prod-usw2-eks,platform,config-svc-370d832-a686a,scale_up,true,2026-06-03 17:14:54
39,24,Node Runbook 24: Cert rotation,sops/node/runbook-24.md,Prevention,indexer CrashLoopBackOff,0.8562,alert,prod-usw2-eks,search,indexer-b957537-8aa20,none,false,2026-05-29 12:45:42
40,25,Network Runbook 25: PDB & graceful shutdown,sops/network/runbook-25.md,Prevention,auth-gateway high latency,0.8868,alert,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,scale_up,true,2026-05-28 15:54:38
41,38,Node Runbook 38: CFS throttling tuning,sops/node/runbook-38.md,Diagnosis,session-store high latency,0.866,chat,prod-usw2-eks,identity,session-store-d825e25-14f9f,increase_limit,false,2026-06-02 06:17:43
42,5,Node Runbook 05: Connection pool sizing,sops/node/runbook-05.md,Prevention,search-api CrashLoopBackOff,0.6389,chat,staging-use2-eks,search,search-api-1605640-8abaf,scale_up,true,2026-06-05 14:41:17
