id,query_text,best_match_sop,best_similarity,source,cluster_name,namespace,pod_name,gap_category,gap_cluster_id,reviewed,draft_sop_created,detected_at
1,why is config-svc slow in platform?,sops/node/runbook-15.md,0.4353,chat,prod-use2-eks,platform,config-svc-027a395-39a4d,network,536,true,false,2026-05-30 04:00:25
2,why is inventory-svc restarting in inventory?,sops/security/runbook-37.md,0.2737,prediction,prod-use2-eks,inventory,inventory-svc-bfded25-1e6d2,memory,20,false,true,2026-05-30 14:46:57
3,why is config-svc throttled in platform?,sops/node/runbook-12.md,0.533,chat,dr-use1-eks,platform,config-svc-0f5b883-4b9e2,node,153,false,false,2026-06-19 13:36:30
4,why is auth-gateway OOMKilled in identity?,sops/storage/runbook-27.md,0.4154,chat,prod-use2-eks,identity,auth-gateway-7b28269-a7447,storage,106,true,false,2026-06-04 05:46:43
5,why is orders-worker throttled in orders?,sops/node/runbook-12.md,0.4043,chat,prod-use2-eks,orders,orders-worker-9681c18-374c7,storage,337,false,true,2026-06-14 19:15:08
6,why is payments-api OOMKilled in payments?,sops/security/runbook-30.md,0.2172,auto,prod-usw2-eks,payments,payments-api-1e23165-1e35b,cpu,103,false,false,2026-06-06 07:25:25
7,why is auth-gateway OOMKilled in identity?,sops/security/runbook-23.md,0.3432,prediction,prod-use2-eks,identity,auth-gateway-7b28269-a7447,memory,642,false,true,2026-06-19 20:51:56
8,why is payments-api restarting in payments?,sops/availability/runbook-10.md,0.3987,alert,prod-use2-eks,payments,payments-api-58c5e74-26d34,memory,875,true,false,2026-06-14 15:25:38
9,why is orders-worker restarting in orders?,sops/node/runbook-08.md,0.3179,prediction,prod-use2-eks,orders,orders-worker-9681c18-374c7,network,1078,false,false,2026-05-29 15:19:38
10,why is payments-worker slow in payments?,sops/memory/runbook-19.md,0.474,prediction,prod-use2-eks,payments,payments-worker-bff7264-02c23,storage,1009,false,false,2026-06-18 21:39:49
11,why is recommendation slow in search?,sops/memory/runbook-40.md,0.2876,chat,prod-usw2-eks,search,recommendation-1e52697-e4756,node,480,false,true,2026-05-30 20:50:24
12,why is orders-api throttled in orders?,sops/security/runbook-13.md,0.323,prediction,prod-use2-eks,orders,orders-api-e9b4a39-c3784,node,695,false,false,2026-05-28 01:50:39
13,why is session-store throttled in identity?,sops/network/runbook-25.md,0.2226,auto,staging-use2-eks,identity,session-store-a097c68-649a1,memory,871,false,false,2026-06-01 14:12:22
14,why is search-api OOMKilled in search?,sops/availability/runbook-06.md,0.4381,prediction,prod-usw2-eks,search,search-api-db28570-d359e,storage,132,true,false,2026-05-31 12:15:43
15,why is ledger-svc OOMKilled in ledger?,sops/security/runbook-30.md,0.2228,prediction,prod-usw2-eks,ledger,ledger-svc-0744083-43011,network,568,true,false,2026-05-31 00:03:52
16,why is orders-api throttled in orders?,sops/node/runbook-08.md,0.4234,chat,dr-use1-eks,orders,orders-api-8330e48-f22f4,storage,73,false,false,2026-06-03 09:18:55
17,why is cart-svc restarting in checkout?,sops/availability/runbook-10.md,0.2837,auto,prod-usw2-eks,checkout,cart-svc-ee38458-64d46,memory,333,false,true,2026-05-30 00:47:42
18,why is coredns slow in kube-system?,sops/availability/runbook-16.md,0.5419,prediction,prod-use2-eks,kube-system,coredns-e513a45-fb7bf,node,155,false,true,2026-06-02 23:56:40
19,why is session-store OOMKilled in identity?,sops/security/runbook-13.md,0.4933,auto,prod-use2-eks,identity,session-store-1ac5266-1ca26,network,78,false,true,2026-05-24 21:10:15
20,why is payments-worker OOMKilled in payments?,sops/network/runbook-17.md,0.5122,alert,prod-use2-eks,payments,payments-worker-bff7264-02c23,memory,218,true,false,2026-06-03 02:46:12
